"","Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow"
"44","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2544,1.22682740219748,1.28259228411554,NA,1.2544,0.226657370614006,0.20443148932859,0.248883251899423,0.000128589597801292,0.0113397353497025,"Risky use of alcohol",1,"Yes",NA,NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,75,28,63,95,"Swedish conscripts",NA,"Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.20443148932859,0.248883251899423,NA,NA
"45","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2544,1.22682740219748,1.28259228411554,NA,1.2544,0.226657370614006,0.20443148932859,0.248883251899423,0.000128589597801292,0.0113397353497025,"BMI > 25",1,"Yes","BMI",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,76,28,63,95,"Swedish conscripts","BMI","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.20443148932859,0.248883251899423,NA,NA
"46","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.1881,1.15583786345973,1.22126264818386,NA,1.1881,0.172355392482105,0.144825503890591,0.199885281073619,0.000197286226015504,0.0140458615262825,"Education",1,"Yes","Education",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,77,28,63,95,"Swedish conscripts","Education","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.144825503890591,0.199885281073619,NA,NA
"47","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.2321,1.19923807785128,1.26586241550968,NA,1.2321,0.208720030648486,0.181686420013348,0.235753641283623,0.000190237428147708,0.0137926584873152,"Adult SES",1,"Yes","Adult SES",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,78,28,63,95,"Swedish conscripts","Adult SES","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.181686420013348,0.235753641283623,NA,NA
"48","Hemmingsson et al. (2007)","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I. (2007). The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort. Social Science and Medicine, 65(7), 1410-1419. https://doi.org/10.1016/j.socscimed.2007.05.006","Hemmingsson, T., Essen, J. v., Melin, B., Allebeck, P., & Lundberg, I.","The association between cognitive ability measured at ages 18–20 and coronary heart disease in middle age among men: A prospective study using the Swedish 1969 conscription cohort","https://doi.org/10.1016/j.socscimed.2007.05.006",2007,"Social Science and Medicine","tomas.hemmingsson@ki.se",76,4.75,"English","Journal article","Published","National Institute for Working Life Stockholm",NA,44495,44495,0,100,43024,1471,19,47,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1951","Sweden","Cohort study",NA,"Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Heart diseases","National Hospital Discharge Register","Register data",NA,"HR",1.0816,1.050837292153,1.11326326990466,NA,1.0816,0.0784414263065627,0.0495872674962392,0.107295585116886,0.000216722844817618,0.0147215095971038,"Multivariate",NA,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-06-26,2022-09-28,"Other","No",NA,17,79,28,63,95,"Swedish conscripts","Multivariate","Yes","Heart diseases",NA,"Hemmingsson et al. (2007)",0.0495872674962392,0.107295585116886,NA,NA
"49","Batty et al. (2005)","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M. (2005). Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study. Paediatric and Perinatal Epidemiology, 19(6), 452-459. https://doi.org/10.1111/j.1365-3016.2005.00671.x","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M.","Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study","https://doi.org/10.1111/j.1365-3016.2005.00671.x",2005,"Paediatric and Perinatal Epidemiology","david-b@msoc.mrc.gla.ac.uk",114,6.33333333333333,"English","Journal article","Published","University of Copenhagen",NA,6910,6910,0,100,6760,150,12,NA,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnqvist intelligence test (Danish translation)",NA,NA,NA,"Heart diseases","National Hospital Registry","Register data",NA,"HR",1.42,1.21,1.66,NA,1.42,0.350656871613169,0.19062035960865,0.506817602368452,0.00650644889687248,0.080662561928521,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-26,2022-09-28,"Other","Yes","Mean and SD for IQ",18,80,NA,56,92,"Danish Metropolit Project","None","No","Heart diseases",NA,"Batty et al. (2005)",0.19062035960865,0.506817602368452,NA,NA
"50","Batty et al. (2005)","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M. (2005). Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study. Paediatric and Perinatal Epidemiology, 19(6), 452-459. https://doi.org/10.1111/j.1365-3016.2005.00671.x","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M.","Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study","https://doi.org/10.1111/j.1365-3016.2005.00671.x",2005,"Paediatric and Perinatal Epidemiology","david-b@msoc.mrc.gla.ac.uk",114,6.33333333333333,"English","Journal article","Published","University of Copenhagen",NA,6910,6910,0,100,6760,150,12,NA,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnqvist intelligence test (Danish translation)",NA,NA,NA,"Heart diseases","National Hospital Registry","Register data",NA,"HR",1.39,1.19,1.64,NA,1.39,0.3293037471426,0.173953307123438,0.494696241836107,0.00669486868544978,0.0818221772226197,"Childhood SES",1,"Yes","Childhood SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-26,2022-09-28,"Other","Yes","Mean and SD for IQ",18,81,NA,56,92,"Danish Metropolit Project","Childhood SES","Yes","Heart diseases",NA,"Batty et al. (2005)",0.173953307123438,0.494696241836107,NA,NA
"51","Batty et al. (2005)","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M. (2005). Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study. Paediatric and Perinatal Epidemiology, 19(6), 452-459. https://doi.org/10.1111/j.1365-3016.2005.00671.x","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M.","Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study","https://doi.org/10.1111/j.1365-3016.2005.00671.x",2005,"Paediatric and Perinatal Epidemiology","david-b@msoc.mrc.gla.ac.uk",114,6.33333333333333,"English","Journal article","Published","University of Copenhagen",NA,6910,6910,0,100,6817,93,12,NA,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnqvist intelligence test (Danish translation)",NA,NA,NA,"Stroke","National Hospital Registry","Register data",NA,"HR",1.15,0.94,1.4,NA,1.15,0.139761942375159,-0.0618754037180875,0.336472236621213,0.0103264813205363,0.101619296004924,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-26,2022-09-28,"Other","Yes","Mean and SD for IQ",18,82,NA,56,92,"Danish Metropolit Project","None","No","Stroke",NA,"Batty et al. (2005)",-0.0618754037180875,0.336472236621213,NA,NA
"52","Batty et al. (2005)","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M. (2005). Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study. Paediatric and Perinatal Epidemiology, 19(6), 452-459. https://doi.org/10.1111/j.1365-3016.2005.00671.x","Batty, G. D., Mortensen, E. L., Nybo Andersen, A.-M., & Osler, M.","Childhood intelligence in relation to adult coronary heart disease and stroke risk: Evidence from a Danish birth cohort study","https://doi.org/10.1111/j.1365-3016.2005.00671.x",2005,"Paediatric and Perinatal Epidemiology","david-b@msoc.mrc.gla.ac.uk",114,6.33333333333333,"English","Journal article","Published","University of Copenhagen",NA,6910,6910,0,100,6817,93,12,NA,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnqvist intelligence test (Danish translation)",NA,NA,NA,"Stroke","National Hospital Registry","Register data",NA,"HR",1.12,0.91,1.38,NA,1.12,0.113328685307003,-0.0943106794712413,0.322083499169113,0.0112833267392216,0.106223004755192,"Childhood SES",1,"Yes","Childhood SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-26,2022-09-28,"Other","Yes","Mean and SD for IQ",18,83,NA,56,92,"Danish Metropolit Project","Childhood SES","Yes","Stroke",NA,"Batty et al. (2005)",-0.0943106794712413,0.322083499169113,NA,NA
"53","Lawlor et al. (2008)","Lawlor, D. A., David Batty, G., Clark, H., McIntyre, S., & Leon, D. A. (2008). Association of childhood intelligence with risk of coronary heart disease and stroke: findings from the Aberdeen Children of the 1950s cohort study. European Journal of Epidemiology, 23(10), 695-706. https://doi.org/10.1007/s10654-008-9281-z","Lawlor, D. A., David Batty, G., Clark, H., McIntyre, S., & Leon, D. A.","Association of childhood intelligence with risk of coronary heart disease and stroke: findings from the Aberdeen Children of the 1950s cohort study.","https://doi.org/10.1007/s10654-008-9281-z",2008,"European Journal of Epidemiology","d.a.lawlor@bristol.ac.uk",93,6.2,"English","Journal article","Published","University of Bristol",NA,8999,4672,4327,51.9168796532948,4394,278,7,59,NA,NA,NA,NA,NA,NA,NA,"Aberdeen Children of the 1950s","UK","Cohort study","Age range was estimated","Moray House Picture Intelligence Test",NA,NA,NA,"Heart diseases","Scottish Morbidity Register","Register data",NA,"HR",0.77,0.7,0.85,NA,1.2987012987013,0.261364764134408,0.162518929497775,0.356674943938732,0.00245318083243943,0.0495295955206524,"Age, sex",1,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-26,2022-09-28,"Other","No",NA,19,84,52,55,90,"Aberdeen Children of the 1950s","None","No","Heart diseases",NA,"Lawlor et al. (2008)",0.162518929497775,0.356674943938732,NA,NA
"54","Lawlor et al. (2008)","Lawlor, D. A., David Batty, G., Clark, H., McIntyre, S., & Leon, D. A. (2008). Association of childhood intelligence with risk of coronary heart disease and stroke: findings from the Aberdeen Children of the 1950s cohort study. European Journal of Epidemiology, 23(10), 695-706. https://doi.org/10.1007/s10654-008-9281-z","Lawlor, D. A., David Batty, G., Clark, H., McIntyre, S., & Leon, D. A.","Association of childhood intelligence with risk of coronary heart disease and stroke: findings from the Aberdeen Children of the 1950s cohort study.","https://doi.org/10.1007/s10654-008-9281-z",2008,"European Journal of Epidemiology","d.a.lawlor@bristol.ac.uk",93,6.2,"English","Journal article","Published","University of Bristol",NA,8999,4672,4327,51.9168796532948,4576,96,7,59,NA,NA,NA,NA,NA,NA,NA,"Aberdeen Children of the 1950s","UK","Cohort study","Age range was estimated","Moray House Picture Intelligence Test",NA,NA,NA,"Stroke","Scottish Morbidity Register","Register data",NA,"HR",0.72,0.59,0.88,NA,1.38888888888889,0.328504066972036,0.127833371509885,0.527632742082372,0.0104018857188513,0.101989635350124,"Age, sex",1,"No","None",NA,NA,NA,NA,"per SD higher IQ","Regression",NA,2023-06-26,2022-09-28,"Other","No",NA,19,85,52,55,90,"Aberdeen Children of the 1950s","None","No","Stroke",NA,"Lawlor et al. (2008)",0.127833371509885,0.527632742082372,NA,NA
"55","Ariansen et al. (2015)","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø. (2015). The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts. Journal of Epidemiology and Community Health, 69(4), 322. https://doi.org/10.1136/jech-2014-204597","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø.","The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts.","https://doi.org/10.1136/jech-2014-204597",2015,"Journal of Epidemiology and Community Health","Inger.Ariansen@fhi.no",12,1.5,"English","Journal article","Published","Norwegian Institute of Public Health",NA,57279,57279,0,100,56964,315,19,41.4,1,NA,NA,NA,NA,NA,NA,"Norwegian conscripts 1949 to 1959","Norway","Cohort study",NA,"General Ability Test","Arthmetic, word similarities, Figures; validated with WAIS",NA,NA,"Heart diseases","""hospital discharge data on acute myocardial infarction obtained through the Cardiovascular Disease in Norway (CVDNOR) project"" (p. 323)","Register data",NA,"HR",1.4641,1.370298263,1.56432279585961,NA,1.4641,0.381240719,0.315028426,0.447453012,0.00114120879920422,0.0337817820608123,"Age, period",2,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; period was not considered a covariate apart from age and sex because it is merely a cohort adjustment.",2023-09-21,2022-09-28,"Other","No",NA,24,90,22.4,61,97,"Norwegian conscripts","None","No","Heart diseases",NA,"Ariansen et al. (2015)",0.315028426,0.447453012,NA,NA
"56","Ariansen et al. (2015)","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø. (2015). The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts. Journal of Epidemiology and Community Health, 69(4), 322. https://doi.org/10.1136/jech-2014-204597","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø.","The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts.","https://doi.org/10.1136/jech-2014-204597",2015,"Journal of Epidemiology and Community Health","Inger.Ariansen@fhi.no",12,1.5,"English","Journal article","Published","Norwegian Institute of Public Health",NA,57279,57279,0,100,56964,315,19,41.4,1,NA,NA,NA,NA,NA,NA,"Norwegian conscripts 1949 to 1959","Norway","Cohort study",NA,"General Ability Test","Arthmetic, word similarities, Figures; validated with WAIS",NA,NA,"Heart diseases","""hospital discharge data on acute myocardial infarction obtained through the Cardiovascular Disease in Norway (CVDNOR) project"" (p. 323)","Register data",NA,"HR",1.1449,1.05768454405904,1.23930714253382,NA,1.1449,0.13531729694763,0.0560821264617424,0.214552467433517,0.00163427015876917,0.0404261073907588,"Age, period, education",3,"Yes","Education",NA,NA,NA,NA,"Per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; period was not considered a covariate apart from age and sex because it is merely a cohort adjustment.",2023-09-21,2022-09-28,"Other","No",NA,24,91,22.4,61,97,"Norwegian conscripts","Education","Yes","Heart diseases",NA,"Ariansen et al. (2015)",0.0560821264617424,0.214552467433517,NA,NA
"57","Ariansen et al. (2015)","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø. (2015). The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts. Journal of Epidemiology and Community Health, 69(4), 322. https://doi.org/10.1136/jech-2014-204597","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø.","The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts.","https://doi.org/10.1136/jech-2014-204597",2015,"Journal of Epidemiology and Community Health","Inger.Ariansen@fhi.no",12,1.5,"English","Journal article","Published","Norwegian Institute of Public Health",NA,57279,57279,0,100,56964,315,19,41.4,1,NA,NA,NA,NA,NA,NA,"Norwegian conscripts 1949 to 1959","Norway","Cohort study",NA,"General Ability Test","Arthmetic, word similarities, Figures; validated with WAIS",NA,NA,"Heart diseases","""hospital discharge data on acute myocardial infarction obtained through the Cardiovascular Disease in Norway (CVDNOR) project"" (p. 323)","Register data",NA,"HR",1.1449,1.07229709567988,1.22241868907506,NA,1.1449,0.13531729694763,0.0698031657444277,0.200831428150832,0.00111726920744231,0.0334255771444908,"Age, period, CVD risk factors",3,"Yes","CVD risk factors",NA,NA,NA,NA,"Per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; period was not considered a covariate apart from age and sex because it is merely a cohort adjustment.",2023-09-21,2022-09-28,"Other","No",NA,24,92,22.4,61,97,"Norwegian conscripts","CVD risk factors","Yes","Heart diseases",NA,"Ariansen et al. (2015)",0.0698031657444277,0.200831428150832,NA,NA
"58","Ariansen et al. (2015)","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø. (2015). The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts. Journal of Epidemiology and Community Health, 69(4), 322. https://doi.org/10.1136/jech-2014-204597","Ariansen, I., Mortensen, L., Igland, J., Tell, G., S. , Tambs, K., Graff-Iversen, S., Strand, B. H., & Næss, Ø.","The educational gradient in coronary heart disease: the association with cognition in a cohort of 57 279 male conscripts.","https://doi.org/10.1136/jech-2014-204597",2015,"Journal of Epidemiology and Community Health","Inger.Ariansen@fhi.no",12,1.5,"English","Journal article","Published","Norwegian Institute of Public Health",NA,57279,57279,0,100,56964,315,19,41.4,1,NA,NA,NA,NA,NA,NA,"Norwegian conscripts 1949 to 1959","Norway","Cohort study",NA,"General Ability Test","Arthmetic, word similarities, Figures; validated with WAIS",NA,NA,"Heart diseases","""hospital discharge data on acute myocardial infarction obtained through the Cardiovascular Disease in Norway (CVDNOR) project"" (p. 323)","Register data",NA,"HR",1,0.927960727138337,1.07763181216065,NA,1,0,-0.0747658669854819,0.0747658669854819,0.00145510591058173,0.0381458505027969,"Age, period, education, CVD risk factors",3,"Yes","Multivariate",NA,NA,NA,NA,"Per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly; period was not considered a covariate apart from age and sex because it is merely a cohort adjustment.",2023-09-21,2022-09-28,"Other","No",NA,24,93,22.4,61,97,"Norwegian conscripts","Multivariate","Yes","Heart diseases",NA,"Ariansen et al. (2015)",-0.0747658669854819,0.0747658669854819,NA,NA
"59","Batty et al. (2007)","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F. (2007). IQ in early adulthood and later cancer risk: cohort study of one million Swedish men. Annals of Oncology, 18(1), 21-28. https://doi.org/10.1093/annonc/mdl473","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F.","IQ in early adulthood and later cancer risk: cohort study of one million Swedish men","https://doi.org/10.1093/annonc/mdl473",2007,"Annals of Oncology","finn.rasmussen@ki.se",65,4.0625,"English","Journal article","Published","University of Edinburgh",NA,1346545,1346545,0,100,1336272,10273,18.25,37.75,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1952 to 1976","Sweden","Cohort study",NA,"Swedish conscription examination",NA,NA,NA,"Cancer","Swedish Cancer Register","Register data","Additional cancer outcomes were reported; for this meta-analysis, ""cancer"" was selected as a general category","HR",1.03,1.01,1.05,NA,0.970873786407767,-0.0295588022415444,-0.0487901641694321,-0.00995033085316809,9.8170856676591e-05,0.00990812074394489,"Age",1,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,27,104,19.5,63,95,"Swedish conscripts","None","No","Cancer",NA,"Batty et al. (2007)",-0.0487901641694321,-0.00995033085316809,NA,NA
"60","Batty et al. (2007)","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F. (2007). IQ in early adulthood and later cancer risk: cohort study of one million Swedish men. Annals of Oncology, 18(1), 21-28. https://doi.org/10.1093/annonc/mdl473","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F.","IQ in early adulthood and later cancer risk: cohort study of one million Swedish men","https://doi.org/10.1093/annonc/mdl473",2007,"Annals of Oncology","finn.rasmussen@ki.se",65,4.0625,"English","Journal article","Published","University of Edinburgh",NA,1346545,1346545,0,100,1336272,10273,18.25,37.75,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1952 to 1976","Sweden","Cohort study",NA,"Swedish conscription examination",NA,NA,NA,"Cancer","Swedish Cancer Register","Register data","Additional cancer outcomes were reported; for this meta-analysis, ""cancer"" was selected as a general category","HR",1.02,0.96,1.07,NA,0.980392156862745,-0.0198026272961798,-0.0676586484738148,0.0408219945202552,0.000765829986490452,0.0276736334168546,"Age, parental SES",2,"Yes","Parental SES",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,27,105,19.5,63,95,"Swedish conscripts","Parental SES","Yes","Cancer",NA,"Batty et al. (2007)",-0.0676586484738148,0.0408219945202552,NA,NA
