"Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Include.in.sample.size.calculation","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow","Country"
"Beaujean et al. (2013)","Beaujean, A. A., Parker, S., & Qiu, X. (2013). The relationship between cognitive ability and depression: a longitudinal data analysis. Social Psychiatry and Psychiatric Epidemiology, 48(12), 1983-1992. https://doi.org/10.1007/s00127-013-0668-0","Beaujean, A. A., Parker, S., & Qiu, X.","The relationship between cognitive ability and depression: a longitudinal data analysis","https://doi.org/10.1007/s00127-013-0668-0",2013,"Social Psychiatry and Psychiatric Epidemiology","Alex_Beaujean@Baylor.edu",46,4.6,"English","Journal article","Published","Baylor University",NA,14322,7192,7130,50.2164502164502,NA,NA,15.98,NA,22.35,NA,NA,NA,NA,NA,NA,"National Longitudinal Study of Adolescent Health","USA","Cohort study",NA,"Add Health Picture Vocabulary Test","Abridged version of the Revised Peanody Picture Vocabulary Test",NA,NA,"Affective disorders",NA,"Self-report data","Study used a continuous depression scale and did not report binary depression diagnoses.","OR",1.49402251806014,1.40733160102091,1.58605355187899,NA,1.49402251806014,0.40147215892645,0.341695429838915,0.461248888013985,0.000930148203978693,0.0304983311671097,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Correlation","OR calculated from r",2023-10-01,2022-09-28,"Other","No",NA,27,105,NA,40,89,"Yes","National Longitudinal Study of Adolescent Health","None","No","Affective disorders",NA,"Beaujean et al. (2013)",0.341695429838915,0.461248888013985,NA,NA,"USA"
"Mõttus et al. (2015)","Mõttus, R., Luciano, M., Sarr, J. M., McCarthy, M. I., & Deary, I. J. (2015). Childhood cognitive ability moderates later-life manifestation of type 2 diabetes genetic risk.Health Psychology, 34(9), 915–919. https://doi.org/10.1037/hea0000184","Mõttus, R.; Luciano, M.; Starr, J. M.; McCarthy, M. I.; Deary, I. J.","Childhood cognitive ability moderates later-life manifestation of type 2 diabetes genetic risk","https://doi.org/10.1037/hea0000184",2015,"Health Psychology","rene.mottus@ed.ac.uk",9,1.125,"English","Journal article","Published","University of Edinburgh",NA,940,481,459,51.1702127659574,NA,NA,11,69.55,0.85,1936,NA,NA,NA,NA,NA,"Lothian Birth Cohort 1936","Scotland","Cohort study",NA,"Moray House Test No. 12","word classification, arithmetic and spatial items, proverbs",NA,NA,"Diabetes and metabolic syndrome","participants were asked about diabetes (selfreport)","Self-report data",NA,"OR",0.72,0.59,0.89,0.001,1.38888888888889,0.328504066972036,0.116533816255952,0.527632742082372,0.010998173079943,0.10487217495572,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,28,107,58.55,57,90,"No","Lothian Birth Cohort 1936","None","No","Diabetes and metabolic syndrome",NA,"Mõttus et al. (2015)",0.116533816255952,0.527632742082372,NA,NA,"UK"
"Whalley et al. (2000)","Whalley, L. J., Starr, J. M., Athawes, R., Hunter, D., Pattie, A., & Deary, I. J. (2000). Childhood mental ability and dementia. Neurology, 55(10), 1455-1459. https://doi.org/10.1212/wnl.55.10.1455","Whalley, L. J., Starr, J. M., Athawes, R., Hunter, D., Pattie, A., & Deary, I. J.","Childhood mental ability and dementia","https://doi.org/10.1212/wnl.55.10.1455",2000,"Neurology","l.j.whalley@abdn.ac.uk",363,15.7826086956522,"English","Journal article","Published","University of Edinburgh",NA,586,NA,NA,NA,552,34,11,64,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","1921 Scottish birth cohort / The Scotish 1932 Mental Survey","Measure of general psychometric intelligence (MHT)","ollowing direction, same-opposites, word classification, analogies, practical items, reasoning, proverbs, arithmetic, spatial items ,  mixed sentences, cipher decoding, and other items",NA,NA,"Dementia and MCI","Late-onset Dementia","Physical or psychiatric examination",NA,"OR",2.455609072,1.307894949,4.610474199,NA,2.455609072,0.898374824977151,0.268418935589464,1.52833071484215,0.103301859348948,0.32140606613589,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","ES converted from Cohen d which was computed using group descriptives in the report",2023-10-01,2022-09-28,"Other","No",NA,29,108,53,57,90,"No","Scottish Mental Survey 1932","None","No","Dementia and MCI",NA,"Whalley et al. (2000)",0.268418935589464,1.3,NA,1.3,"UK"
"Kingma et al. (2013)","Kingma, E. M., Rosmalen, J. G. M., White, P. D., Stansfeld, S. A., & Clark, C. (2013). The prospective association between childhood cognitive ability and somatic symptoms and syndromes in adulthood: the 1958 British birth cohort. Journal of Epidemiology and Community Health, 67(12), 1047-1053. https://doi.org/10.1136/jech-2013-202850","Kingma EM, Rosmalen JG, White PD, Stansfeld SA, Clark C.","The prospective association between childhood cognitive ability and somatic symptoms and syndromes in adulthood: the 1958 British birth cohort","https://doi.org/10.1136/jech-2013-202850",2013,"Journal of Epidemiology & Community Health","c.clark@qmul.ac.uk",5,0.5,"English","Journal article","Published","Queen Mary University of London",NA,14068,7217,6851,51.3008245663918,NA,NA,11,42,NA,1958,NA,NA,NA,NA,NA,"British 1958 Birth Cohort","England","Cohort study",NA,"General ability test devised by the National Foundation for Educational Research in England and Wales","verbal, non-verbal",NA,NA,"Chronic fatigue syndrome","\"self-reported diagnoses of irritable bowel syndrome (IBS) and CFS or myalgic encephalomyelitis (CFS/ME)\" (p. 1048)","Self-report data",NA,"OR",1.017,1.0002,1.033,NA,1.017,0.0168571170664228,0.000199980002666245,0.0324671901375014,6.77564588898902e-05,0.00823143115684571,"sex, previous somatic symptoms, internalising symptoms at age 11 years, psychological symptom scores at time of outcome measure",4,"Yes","Multivariate",NA,NA,NA,NA,"Per SD lower IQ","Regression","increased risk with lower cognitive ability",2023-10-01,2022-09-28,"Other","No",NA,30,109,31,51,90,"Yes","British 1958 Birth Cohort","Multivariate","Yes","Chronic fatigue syndrome",NA,"Kingma et al. (2013)",0.000199980002666245,0.0324671901375014,NA,NA,"UK"
"Barnett et al. (2012)","
Barnett, J., McDougall, F., Xu, M., Croudace, T., Richards, M., & Jones, P. (2012). Childhood cognitive function and adult psychopathology: Associations with psychotic and non-psychotic symptoms in the general population. The British Journal of Psychiatry, 201(2), 124-130. doi:10.1192/bjp.bp.111.102053","Barnett, Jennifer H.; McDougall, Fiona; Xu, Man K.; Croudace, Tim J.; Richards, Marcus; Jones, Peter B.","Childhood cognitive function and adult psychopathology: associations with psychotic and non-psychotic symptoms in the general population","https://doi.org/10.1192/bjp.bp.111.102053",2012,"The British Journal of Psychiatry","jhb32@cam.ac.uk",50,4.54545454545455,"English","Journal article","Published","University of Cambridge",NA,2918,NA,NA,NA,651,2265,8,53,NA,1946,NA,NA,NA,NA,NA,"National Study of Health and Development","UK","Cohort study",NA,"a composite of age-appropriate verbal and non-verbal cognitive tests","picture intelligence, reading, sentence completion, vocabulary",NA,NA,"General psychosis","Psychosis Screening Questionnaire","Self-report data",NA,"OR",1.386085914,1.182342171,1.624939216,NA,1.386085914,0.326483885859583,0.167497361862848,0.485470409543635,0.00657973624605683,0.0811155733879557,NA,NA,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference",NA,2023-10-01,2022-09-28,"Other","No",NA,31,110,45,55,90,"Yes","National Study of Health and Development","None","No","General psychosis",NA,"Barnett et al. (2012)",0.167497361862848,0.485470409543635,NA,NA,"UK"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.002","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.002",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,2182,NA,NA,48,NA,NA,17.5,40,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Services Vocational Aptitude Battery","cience, arithmetic, word knowledge, paragraph comprehension, numerical operations, coding speed, auto and shop information, mathematics knowledge, mechanical comprehension, and electronics information",NA,NA,"Stroke","question about diagnosed health condition","Self-report data",NA,"OR",0.81,0.43,1.53,0.52,1.23456790123457,0.210721031315653,-0.425267735404344,0.843970070294529,0.104836826284315,0.323785154515019,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,111,22.5,40,89,"No","NLSY 1979","Adult SES","Yes","Stroke",NA,"Der et al. (2009)",-0.425267735404344,0.843970070294529,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.003","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.003",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7458,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Heart diseases","question about diagnosed health condition","Self-report data",NA,"OR",0.59,0.32,1.07,0.083,1.69491525423729,0.527632742082372,-0.0676586484738148,1.13943428318836,0.0948220367599955,0.307931870321985,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,112,23,40,89,"No","NLSY 1979","Adult SES","Yes","Heart diseases",NA,"Der et al. (2009)",-0.0676586484738148,1.13943428318836,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.004","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.004",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7461,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Respiratory disease","question about diagnosed health condition","Self-report data",NA,"OR",0.77,0.64,0.92,0.004,1.2987012987013,0.261364764134408,0.083381608939051,0.44628710262842,0.0085706735051752,0.0925779320636144,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,113,23,40,89,"No","NLSY 1979","Adult SES","Yes","Respiratory disease",NA,"Der et al. (2009)",0.083381608939051,0.44628710262842,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.005","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.005",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7460,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Heart diseases","question about diagnosed health condition","Self-report data",NA,"OR",0.87,0.73,1.03,0.111,1.14942528735632,0.139262067333508,-0.0295588022415444,0.3147107448397,0.00771303109690789,0.0878238640513379,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,114,23,40,89,"No","NLSY 1979","Adult SES","Yes","Heart diseases",NA,"Der et al. (2009)",-0.0295588022415444,0.3147107448397,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.006","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.006",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7461,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Diabetes and metabolic syndrome","question about diagnosed health condition","Self-report data",NA,"OR",0.98,0.83,0.97,0.005,1.02040816326531,0.0202027073175195,0.0304592074847087,0.186329578191494,0.00158108421388683,0.0397628496700982,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,115,23,40,89,"No","NLSY 1979","Adult SES","Yes","Diabetes and metabolic syndrome",NA,"Der et al. (2009)",0.0304592074847087,0.186329578191494,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.007","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.007",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7454,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Arthritis","question about diagnosed health condition","Self-report data",NA,"OR",0.9,0.82,0.99,0.033,1.11111111111111,0.105360515657826,0.0100503358535015,0.198450938723838,0.00230989608248558,0.0480613782832492,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,116,23,40,89,"No","NLSY 1979","Adult SES","Yes","Arthritis",NA,"Der et al. (2009)",0.0100503358535015,0.198450938723838,NA,NA,"USA"
"Der et al. (2009)","Der, G., Batty, G. D., & Deary, I. J. (2009). The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth. Intelligence, 37(6), 573-580. https://doi.org/https://doi.org/10.1016/j.intell.2008.12.008","Der, Geoff; Batty, G. David; Deary, Ian J.","The association between IQ in adolescence and a range of health outcomes at 40 in the 1979 US National Longitudinal Study of Youth","https://doi.org/10.1016/j.intell.2008.12.008",2009,"Intelligence","G.Der@sphsu.mrc.ac.uk",169,12.0714285714286,"English","Journal article","Published","University of Glasgow",NA,7462,NA,NA,48,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,NA,NA,NA,NA,"Cancer","question about diagnosed health condition","Self-report data",NA,"OR",0.9,0.73,1.11,0.335,1.11111111111111,0.105360515657826,-0.104360015324243,0.3147107448397,0.0114288513916327,0.106905806164271,"Sex, age, SES",3,"Yes","Adult SES",NA,NA,NA,NA,"Per SD higher IQ","Regression","Exact gender distribution for individual analyses unknown",2023-10-01,2022-09-28,"Other","No",NA,32,117,23,40,89,"Yes","NLSY 1979","Adult SES","Yes","Cancer",NA,"Der et al. (2009)",-0.104360015324243,0.3147107448397,NA,NA,"USA"
"Caspi et al. (2003)","Caspi, A., Reichenberg, A., Weiser, M., Rabinowitz, J., Kaplan, Z. e., Knobler, H., Davidson-Sagi, N., & Davidson, M. (2003). Cognitive performance in schizophrenia patients assessed before and following the first psychotic episode. Schizophrenia Research, 65(2), 87-94. https://doi.org/https://doi.org/10.1016/S0920-9964(03)00056-2","Caspi, A., Reichenberg, A., Weiser, M., Rabinowitz, J., Kaplan, Z. e., Knobler, H., Davidson-Sagi, N., & Davidson, M.","Cognitive performance in schizophrenia patients assessed before and following the first psychotic episode","https://doi.org/10.1016/S0920-9964(03)00056-2",2003,"Schizophrenia Research","davidso@netvision.net.il",273,13.65,"English","Journal article","Published","Chaim Sheba Medical Center",NA,88,66,22,75,44,44,16.5,22.87,NA,NA,NA,NA,NA,NA,NA,"Caspi et al. (2003)","Israel","Case-control",NA,"Raven's Progressive Matrices","fluid",NA,NA,"Schizophrenia",NA,"Physical or psychiatric examination",NA,"OR",2.96708454,1.36724369,6.43893313,NA,2.96708454,1.08757983433046,0.312796808130786,1.86236286334915,0.156260084306343,0.395297463065908,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","ES converted from Cohen d which was computed using group descriptives in the report",2023-10-02,2022-09-28,"Other","No",NA,33,118,6.37,31,85,"Yes","Caspi et al. (2003)","None","No","Schizophrenia",NA,"Caspi et al. (2003)",0.312796808130786,1.3,NA,1.3,"Israel"
"Fors et al. (2018)","Fors, S., Torssander, J., & Almquist, Y. B. (2018). Is childhood intelligence associated with coexisting disadvantages in adulthood? Evidence from a Swedish cohort study. Advances in Life Course Research, 38, 12-21. https://doi.org/https://doi.org/10.1016/j.alcr.2018.10.005","Fors, S., Torssander, J., & Almquist, Y. B.","Is childhood intelligence associated with coexisting disadvantages in adulthood? Evidence from a Swedish cohort study","https://doi.org/10.1016/j.alcr.2018.10.005",2018,"Advances in Life Course Research","stefan.fors@ki.se",4,0.8,"English","Journal article","Published","Stockholm University",NA,11323,5640,5683,49.8101209926698,10649,674,13,47,NA,1953,NA,NA,NA,NA,NA,"Stockholm Birth Cohort Study","Sweden","Cohort study",NA,"Härnqvist (1968)","Verbal, numerical, spatial",NA,NA,"General mental health disorders","Admissions for any ICD-coded mental disorders","Physical or psychiatric examination","IQ test validated in Moran et al. (2009)","OR",1.7295061981707,1.59981453276218,1.86971153734075,NA,1.7295061981707,0.54783593318207,0.469887705503204,0.625784160860937,0.00158161344186705,0.0397695039177892,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","ES converted from Cohen d which was computed using group descriptives in the report; Cohen d was calculated based on group comparison \"no admissions for mental disorders\" vs. \"1 or more admissions for mental disorders\"",2023-10-03,2022-09-28,"Other","No",NA,35,121,34,63,90.4,"Yes","Stockholm Birth Cohort Study","None","No","General mental health disorders",NA,"Fors et al. (2018)",0.469887705503204,0.625784160860937,NA,NA,"Sweden"
"Gale et al. (2012)","Catharine, R. G., Ian, J. D., Fowkes, F. G., & Batty, G. D. (2012). Intelligence in early adulthood and subclinical atherosclerosis in middle-aged men: the Vietnam Experience Study. Journal of Epidemiology and Community Health, 66(7), e13. https://doi.org/10.1136/jech.2010.109835","Catharine, R. G., Ian, J. D., Fowkes, F. G., & Batty, G. D.","Intelligence in early adulthood and subclinical atherosclerosis in middle-aged men: the Vietnam Experience Study","https://doi.org/10.1136/jech.2010.109835",2012,"Journal of Epidemiology and Community Health","crg@mrc.soton.ac.uk",12,1.09090909090909,"English","Journal article","Published","Southampton General Hospital",NA,4286,4286,0,100,3614,672,20.4,38.3,NA,NA,NA,NA,NA,NA,NA,"Vietnam Experience Study","USA","Cohort study",NA,"General Technical Section of the Army Classification Battery","Verbal reasoning, arithmetic reasoning",NA,NA,"Diabetes and metabolic syndrome","\"We defined the metabolic syndrome and its components using a modified version of the Adult Treatment Panel III recom- mended diagnostic criteria.13 According to this definition, participants were classified as having the metabolic syndrome if any three of the following were present: BMI >30 kg/m2 (in the absence of data on waist circumference, BMI at this threshold is regarded by the WHO as an acceptable substitute in defining the metabolic syndrome14); fasting plasma glucose $6.1 mmol/l (110mg/dl) or medication for diabetes (as reported at the medical examination); triglycerides 1.7 mmol/l (150 mg/dl); high-density lipoprotein (HDL) cholesterol <1.036 mmol/l (40 mg/dl); and blood pressure $130/85 mm Hg and/or use of antihypertensive medication.\" (p. 2)","Physical or psychiatric examination",NA,"OR",1.262224444,1.162406185,1.370614306,NA,1.262224444,0.232875596166504,0.150492154147599,0.315259037879596,0.00176671998482101,0.0420323682989789,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","ES converted from Cohen d which was computed using group descriptives in the report; Cohen d was calculated based on group comparison \"metabolic syndrome\" vs. \"no metabolic syndrome\"",2023-10-03,2022-09-28,"Other","No",NA,36,122,17.9,40,89,"Yes","Vietnam Experience Study","None","No","Diabetes and metabolic syndrome",NA,"Gale et al. (2012)",0.150492154147599,0.315259037879596,NA,NA,"USA"
"Gunnell et al. (2002)","Gunnell, D., Harrison, G., Rasmussen, F., Fouskakis, D., & Tynelius, P. (2002). Associations between premorbid intellectual performance, early-life exposures and early-onset schizophrenia: Cohort study. The British Journal of Psychiatry, 181(4), 298-305. https://doi.org/10.1192/bjp.181.4.298","Gunnell, D., Harrison, G., Rasmussen, F., Fouskakis, D., & Tynelius, P.","Associations between premorbid intellectual performance, early-life exposures and early-onset schizophrenia: Cohort study","https://doi.org/10.1192/bjp.181.4.298",2002,"The British Journal of Psychiatry","D.J.Gunnell@bristol.ac.uk",167,7.95238095238095,"English","Journal article","Published","University of Bristol",NA,109551,109551,0,100,109491,60,18.2,23.24,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1973 to 1980","Sweden","Cohort study","No overlap with Zammit et al. (2004) due to different birth cohorts; partial overlap with Gale et al. (2010) likely","Swedish Enlistment Battery","technical/mechanical skills with mathe- matical/physics problems; logic/general intelligence test; a verbal test detecting synonyms; and a test of visuo-spatial/ geometric perception",NA,NA,"Schizophrenia","\"Swedish in-patient discharge regis- ter (up to 31 December 1997). Hospital admissions were coded using ICD–9 and, for more recent years, ICD–10\" (p. 298)","Register data",NA,"OR",2.54475942215036,1.97569986612575,3.27772483445159,NA,2.54475942215036,0.934036115927352,0.680922698176806,1.1871495336779,0.0166770101638282,0.129139498852319,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","ES converted from Cohen d which was computed using group descriptives in the report; the group descriptives were estimated based on the summarized data in the report",2023-10-03,2022-09-28,"Other","No",NA,37,123,5.04,63,95,"No","Swedish conscripts","None","No","Schizophrenia",NA,"Gunnell et al. (2002)",0.680922698176806,1.1871495336779,NA,NA,"Sweden"
"Okely et al. (2019)","Okely, J. A., Akeroyd, M. A., Allerhand, M., Starr, J. M., & Deary, I. J. (2019). Longitudinal associations between hearing loss and general cognitive ability: The Lothian Birth Cohort 1936. Psychology and Aging, 34(6), 766-779. https://doi.org/10.1037/pag0000385","Okely, J. A., Akeroyd, M. A., Allerhand, M., Starr, J. M., & Deary, I. J.","Longitudinal associations between hearing loss and general cognitive ability: The Lothian Birth Cohort 1936","https://doi.org/10.1037/pag0000385",2019,"Psychology and Aging","judith.okely@ed.ac.uk",6,1.5,"English","Journal article","Published","University of Edinburgh",NA,689,353,336,51.233671988389,276,413,11,76,NA,NA,NA,NA,NA,NA,NA,"Lothian Birth Cohort 1936","Scotland","Cohort study","The younger follow-up sample was selected (76 vs. 79) because in terms of health outcomes, this age difference is not meaningful. However, in terms of statistical power, there is substantial attrition between the waves.","Moray House Test","word classification, arithmetic and spatial items, proverbs",NA,NA,"Hearing impairment","Hearing acuity was assessed with the Sie- mens HearCheck Navigator; hearing impairment was measured on a three-point scale: \"not impaired\", \"mildly impaired\", \"moderate/severely impaired\"","Physical or psychiatric examination",NA,"OR",1.41887653980817,1.08062310683465,1.86300905698295,NA,1.41887653980817,0.349865389324509,0.0775378255368488,0.62219295311217,0.0193050557055712,0.138942634585541,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Correlation","Results of ordinal logistic regression were reported in paper. However, these results are difficult to compare with binary logistic or Cox regression. Therefore, we selected a correlation which was converted to OR.",2023-10-04,2022-09-28,"Other","No",NA,39,128,65,57,83.3,"No","Lothian Birth Cohort 1936","None","No","Hearing impairment",NA,"Okely et al. (2019)",0.0775378255368488,0.62219295311217,NA,NA,"UK"
